"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_act_il","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_act_il","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount","disbursement_method","debt_settlement_flag","debt_settlement_flag_date","settlement_status","settlement_date","settlement_amount","settlement_percentage","settlement_term"
"","","10000","10000","10000"," 36 months"," 10.65%","325.74","B","B2","SFMTA","3 years","RENT","100000","Source Verified","Dec-2011","Charged Off","n","","","other","Other Loan","951xx","CA","7.06","0","May-1991","2","","","14","0","11997","55.5%","29","f","0.00","0.00","7471.99","7471.99","5433.47","1393.42","0.0","645.1","6.3145","Oct-2013","325.74","","Oct-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","1000","1000","1000"," 36 months"," 16.29%","35.31","D","D1","Internal revenue Service","< 1 year","RENT","28000","Not Verified","Dec-2011","Fully Paid","n","","","debt_consolidation","Debt Consolidation Loan","641xx","MO","20.31","0","Sep-2007","1","","","11","0","6524","81.5%","23","f","0.00","0.00","1270.71694152","1270.72","1000.00","270.72","0.0","0.0","0.0","Jan-2015","36.32","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","10000","10000","10000"," 36 months"," 15.27%","347.98","C","C4","Chin's Restaurant","4 years","RENT","42000","Not Verified","Dec-2011","Fully Paid","n","","","home_improvement","Home","921xx","CA","18.6","0","Oct-1998","2","61","","14","0","24043","70.2%","28","f","0.00","0.00","12527.1500000008","12527.15","10000.00","2527.15","0.0","0.0","0.0","Jan-2015","370.46","","Sep-2017","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","3600","3600","3600"," 36 months","  6.03%","109.57","A","A1","Duracell","10+ years","MORTGAGE","110000","Not Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/15/11 > Payoff other lending club acct and pull out money for purchase<br><br> Borrower added on 12/15/11 > payoff current lending club account and take money for purchase<br>","major_purchase","Holiday","067xx","CT","10.52","0","Aug-1993","0","","","20","0","22836","16%","42","f","0.00","0.00","3785.2719647105","3785.27","3600.00","185.27","0.0","0.0","0.0","May-2013","583.45","","May-2014","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","6000","6000","6000"," 36 months"," 11.71%","198.46","B","B3","Connection Inspection","1 year","MORTGAGE","84000","Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/16/11 > This is a loan i am really looking forward to it will help me and my whole family.  thank you<br><br> Borrower added on 12/18/11 > This loan is for a medical procedure I've been waiting 3 years for hope to get it!! Thanks.<br>","medical","Medical","890xx","UT","18.44","2","Oct-2003","0","8","","4","0","0","37.73%","14","f","0.00","0.00","7167.0728927666","7167.07","6000.00","1152.07","15.0000000305","0.0","0.0","Feb-2015","16.98","","Jul-2015","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","9200","9200","9200"," 36 months","  6.03%","280.01","A","A1","Network Interpreting Service","6 years","RENT","77385.19","Not Verified","Dec-2011","Fully Paid","n","","","debt_consolidation","lowerratemeanseasiertogetoutofdebt!","921xx","CA","9.86","0","Jan-2001","0","","","8","0","7314","23.1%","28","f","0.00","0.00","9460.0008480671","9460.00","9200.00","260.00","0.0","0.0","0.0","Jul-2012","8061.1","","Feb-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","20250","20250","19142.161077147413"," 60 months"," 15.27%","484.63","C","C4","Archdiocese of Galveston Houston","3 years","RENT","43370","Verified","Dec-2011","Fully Paid","n","","After amassing credit card debt through several years of college, I now have spending under control and a stable job. With this loan I plan to pay off all the credit cards and close them down immediately. I have a good balance between living expenses and debt repayment.<br> Over several years in college I amassed a large debt in credit cards.  Now that I have a stable job and spending under control I will use this loan to consolidate credit card debt and to close them immediately.  I never miss payments and I follow a strict monthly budget of $1,350 in living expenses and a $339 car note.  I have enough in savings to cover 6 months of all expenses, including this loan payment.  Absolutely every other dollar is dedicated to debt repayment.  Please let me know if you have any other questions.<br> Borrower added on 12/15/11 > Over several years in college I amassed a large debt in credit cards.  Now that I have a stable job and spending under control I will use this loan to consolidate credit card debt and to close them immediately.  I never miss payments and I follow a strict monthly budget of $1,350 in living expenses and a $339 car note.  I have enough in savings to cover 6 months of all expenses, including this loan payment.  Absolutely every other dollar is dedicated to debt repayment.<br><br>Please let me know if you have any other questions.<br><br> Borrower added on 12/16/11 > After amassing credit card debt from years in college I have put spending under control. With my stable job, I hope to use this loan to pay off all the credit cards and close them down immediately. My monthly income is balanced between living expenses and loan repayment.  Thank you!<br><br> Borrower added on 12/16/11 > After amassing credit card debt through several years of college, I now have spending under control and a stable job.  With this loan I plan to pay off all the credit cards and close them down immediately.  I have a good balance between living expenses and debt repayment.<br>","debt_consolidation","Freedom From Credit Cards","770xx","TX","26.53","0","Nov-1997","3","","","8","0","17813","85.6%","22","f","0.00","0.00","27679.04999702957","25433.60","20250.00","7429.05","0.0","0.0","0.0","Aug-2015","6024.09","","Jun-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","21000","21000","21000"," 36 months"," 12.42%","701.73","B","B4","Osram Sylvania","10+ years","RENT","105000","Verified","Dec-2011","Charged Off","n","","  Borrower added on 12/16/11 > Decided to clean up the debt and get my finances together.  Thank you for your consideration.<br>","debt_consolidation","Debt Cleanup","335xx","FL","13.22","0","Feb-1983","0","","","7","0","32135","90.3%","38","f","0.00","0.00","14034.6","14034.60","10694.96","3330.44","0.0","9.2","0.0","Sep-2013","701.73","","Feb-2017","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","10000","10000","10000"," 36 months"," 11.71%","330.76","B","B3","Value Air","10+ years","OWN","50000","Source Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/17/11 > Have a stable job, will be absolutely no problem making monthly payments.  Loan will be used to close high interest credit card accounts on which I've never had a late payment.<br>","credit_card","Credit Card Loan","799xx","TX","11.18","0","Jul-1985","0","","","8","0","10056","82.4%","21","f","0.00","0.00","11907.3500000015","11907.35","10000.00","1907.35","0.0","0.0","0.0","Jan-2015","349.21","","Jan-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","10000","10000","10000"," 36 months"," 11.71%","330.76","B","B3","Wells Fargo Bank","5 years","RENT","50000","Not Verified","Dec-2011","Fully Paid","n","","","debt_consolidation","Debt Consolidation","917xx","CA","16.01","0","Apr-2003","0","","","6","0","17800","91.8%","17","f","0.00","0.00","11540.8919774065","11540.89","10000.00","1540.89","0.0","0.0","0.0","Oct-2013","4942.63","","Mar-2014","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","6000","6000","6000"," 36 months"," 11.71%","198.46","B","B3","bmg-educational","1 year","RENT","76000","Not Verified","Dec-2011","Charged Off","n","","","major_purchase","cash","900xx","CA","2.4","0","Jun-2001","1","","","7","0","5963","29.7%","7","f","0.00","0.00","2055.85","2055.85","1305.58","475.25","0.0","275.02","2.57","Oct-2012","198.46","","Oct-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","15000","15000","15000"," 36 months","  9.91%","483.38","B","B1","Winfield Pathology Consultants","2 years","MORTGAGE","92000","Verified","Dec-2011","Fully Paid","n","","","credit_card","No more credit card debt!","605xx","IL","29.44","0","Feb-2002","0","","","8","0","13707","93.9%","31","f","0.00","0.00","15823.9990494149","15824.00","15000.00","824.00","0.0","0.0","0.0","Sep-2012","2447.05","","Sep-2012","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","15000","15000","8725"," 36 months"," 14.27%","514.64","C","C2","nyc transit","9 years","RENT","60000","Not Verified","Dec-2011","Charged Off","n","","  Borrower added on 12/15/11 > looking to consolidate into just one monthly payment<br>","debt_consolidation","consolidation","103xx","NY","15.22","0","Oct-2003","1","","","7","0","5872","57.6%","11","f","0.00","0.00","0.0","0.00","0.00","0.00","0.0","0.0","0.0","","0.0","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","5000","5000","5000"," 60 months"," 16.77%","123.65","D","D2","Frito Lay","2 years","RENT","50004","Not Verified","Dec-2011","Charged Off","n","","  Borrower added on 12/16/11 > I have a stable job where I will never get laid off.<br><br> Borrower added on 12/16/11 > I need the loan to pay for some recent medical expenses and I need to get my car fixed.<br>","other","Other","150xx","PA","13.97","3","Oct-2003","0","20","","14","0","4345","59.5%","22","f","0.00","0.00","1611.16","1611.16","629.05","719.11","0.0","263.0","2.3","Dec-2012","123.65","","Oct-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","4000","4000","4000"," 36 months"," 11.71%","132.31","B","B3","Shands Hospital at the University of Fl","10+ years","MORTGAGE","106000","Not Verified","Dec-2011","Fully Paid","n","","","debt_consolidation","Debt Consolidation","326xx","FL","5.63","1","Aug-1984","0","18","","12","0","6110","37.7%","44","f","0.00","0.00","4486.293519007","4486.29","4000.00","486.29","0.0","0.0","0.0","Apr-2013","2638.77","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","8500","8500","8500"," 36 months"," 11.71%","281.15","B","B3","Oakridge homes","< 1 year","RENT","25000","Source Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/15/11 > My loan is for paying off my credit cards and being able to get a place to live since I live with my uncle at the moment and he needs me to leave. <br><br>  Borrower added on 12/17/11 > Im responsible and i pay my bills on time if not early. i have a great payment history. having this loan would really help me out. thank you<br>","credit_card","Credit card repayment loan","564xx","MN","12.19","0","Nov-2006","0","","","8","0","6441","59.1%","12","f","0.00","0.00","10126.0884411541","10126.09","8500.00","1626.09","0.0","0.0","0.0","Dec-2014","581.59","","Jan-2015","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
